# One line per check. A line missing ANY field does not count as a result.
# control = did a positive control fire (something that must appear whether or not the feature works)
# alone   = was anything else driving on the same instance/directory at the time
# TIMESTAMP every row: YYYY-MM-DD HH:MM, not just the date.
#
# ARM LABEL (added 2026-08-27 03:27 CEST). A two-arm A/B writes TWO rows and the parent arm is
#   SUPPOSED to FAIL — that failure is the proof the probe measures the defect, not a
#   result. Any query that takes "the latest row per cell" therefore reads a driven,
#   passing cell as failing; that happened to me twice on this file. So start the
#   'what' column with one of:
#     [parent]  the pre-fix control arm. A FAIL here is EXPECTED and is evidence.
#     [fix]     the with-fix arm. THIS ROW IS THE VERDICT.
#     [single]  a one-armed reading with no pre-fix control (rarer; say why in the text).
#   Rows written before this note use prose forms such as "(PARENT arm)" / "(FIX arm)".
# Rows written before
# 2026-08-26 16:05 CEST carry a date only; everything after carries the time.
# STALE = CODE changed since that commit, not merely that commits landed. Check with:
#   git diff --name-only <row commit>..issue/1761-agent-runtime | grep -v '^docs/'
# Empty output means the row still counts. The first version of this rule said "behind the
# tip" and would have thrown away 25 valid rows over three docs-only commits.
what	driver	verdict	commit	control	alone	date	issue
[single] A7a daemon restart	grok-acp	PASS daemon changed 1954780 to 1968990 at the same spawn pin; unchanged conversation ID recalled the pre-restart codeword	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server; durable baseline reply carried RESTARTBASE-1PTMT4 before restart	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a7a; server c26c267be PID 1954661; daemon replacement c26c267be PID 1968990; post-restart pin verified; web c26c267; code tree 7f0d53ea; root 12.1GiB free; load1 8.47; test:heavy free; aggregate daemon-status PID extractor false-red retained in evidence	2026-08-27 12:04:53 CEST	POD-2927
[parent] A7b hibernate and wake	grok-acp	FAIL hibernate parked and the exact context was later recalled, but resurrect did not return the session row to live within 60 seconds	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server; durable baseline reply proved context and the parked-state transition fired	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a7b; server c26c267be PID 1954661; daemon c26c267be PID 1968990; web c26c267; code tree 7f0d53ea; root 12.3GiB free; load1 5.10; test:heavy free; conversation IDs unreported and identity not separately verified	2026-08-27 12:07:21 CEST	POD-2927
[single] A4a permission ask	grok-acp	BLOCKED dedicated permission probe produced zero durable transcript items and zero delta frames, so chat card, terminal ask, and answer-resolution clauses were unmeasurable	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	no; product reported grok-acp/server and terminal viewer attached with 4431 bytes, but the permission probe turn control did not fire	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a4a-dedicated; server c26c267be PID 1954661; daemon c26c267be PID 1968990; web c26c267; code tree 7f0d53ea; root 12.0GiB free; load1 4.45; test:heavy free; two queued aggregate attempts discarded for POD-2920 overlap	2026-08-27 12:18:55 CEST	POD-2927
[single] A4b answer twice	grok-acp	BLOCKED permission probe produced no durable turn or ask, so no successful first answer existed and the typed second-refusal/no-double-action clauses were unmeasurable	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	no; product reported grok-acp/server and terminal attached with 4431 bytes, but the permission-turn and first-answer controls did not fire	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a4b-dedicated; recovered same instance before scored attempt; server/daemon c26c267be PIDs 2025239/2025418; web c26c267; code tree 7f0d53ea; root 12.0GiB free; load1 4.57; test:heavy free	2026-08-27 12:23:41 CEST	POD-2927
[single supersedes earlier instrument BLOCKED] A6a terminal attach and type	grok-acp	PASS delayed attach produced 4435 control bytes; keystroke echoed; resize repainted 1527 plus 1905 bytes; second viewer received 5715 bytes and saw the marker	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server and 4435 terminal bytes arrived before any input	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a6a-authoritative; server/daemon c26c267be PIDs 2036499/2036549; web c26c267; code tree 7f0d53ea; root 11.9GiB free; load1 7.61; test:heavy free; supersedes immediate-attach instrument BLOCKED	2026-08-27 12:32:30 CEST	POD-2927
[single] A1c send to a dead session	grok-acp	BLOCKED live send passed, but missing daemon uuid/source and zero exact stamped child PIDs prevented safe dead-session attribution; no process was guessed or killed	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server and exact live-send reply arrived; dead-target attribution control did not fire	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a1c-authoritative-proof; server/daemon c26c267be PIDs 2036499/2036549; web c26c267; code tree 7f0d53ea; root 11.9GiB free; load1 8.73; test:heavy free; current A1c scorer; dead-send/lost-message clauses unmeasured	2026-08-27 12:37:11 CEST	POD-2927
[single] A9 kill session	grok-acp	BLOCKED live reply passed, but the exact in-scope Grok PID lacked daemon/session stamps, so safe kill attribution and 15s/300s/rebound cleanup clauses were unmeasurable	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	no; product reported grok-acp/server and exact ALIVE-LIVM1P reply arrived, but stamp proof failed with one real unstamped target PID	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a9-authoritative; unstamped PID 2083580; server/daemon c26c267be PIDs 2036499/2036549; web c26c267; code tree 7f0d53ea; root 11.8GiB free; load1 9.35; test:heavy free; current A9 scorer refused before kill	2026-08-27 12:39:09 CEST	POD-2927
[fix] A1b send while busy	grok-acp	PASS caller received queued position 1; socket reload occurred; exact queued reply delivered after the busy turn completed	961a6992480ad279776af4354fcd2935f6bed0e8	yes; product reported grok-acp/server; first turn reached working in 311ms and later completed BUSY-S6WLFH	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a1b-fix-961a; exact detached runtime checkout; server/daemon spawn pins 961a69924 PIDs 2139364/2139454; web source 961a699 bundle+k9dcbf_p; code tree 34eda83b; root 11.6GiB free; load1 6.73; test:heavy free	2026-08-27 13:06:34 CEST	POD-2927
[fix] A3 interrupt mid-turn	grok-acp	PASS proven working turn stopped 90ms after accepted protocol interrupt and durable transcript carried event=interrupt; refusal clause not exercised	961a6992480ad279776af4354fcd2935f6bed0e8	yes; product reported grok-acp/server; phase=working and three preview frames proved generation before the call	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a3-fix-961a; exact detached runtime checkout; server/daemon spawn pins 961a69924 PIDs 2139364/2139454; web source 961a699 bundle+k9dcbf_p; code tree 34eda83b; root 11.5GiB free; load1 5.45; test:heavy free; current parent 0bfec93 changes only web queue type guards	2026-08-27 13:44:31 CEST	POD-2927
[fix supersedes rejected 961 reading] A1b send while busy	grok-acp	PASS same durable ledger row msg_411e0098-96c9-4351-b288-dd1ad766eb41 was queued at numeric position 1 before and after caller reload, then delivered with the exact reply	5a01098aae2cea4bbc4d7a7e893c1b70a15b137a	yes; product reported grok-acp/server; durable control turn existed and phase reached working before the queued send	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok-current/probes/grok-a1b-superseding-5a; exact server/daemon spawn PIDs 2291866/2292188; web 5a01098 bundle+D0-MLqzq; code tree a55459eb; load1 9.23; root 11.5GiB; test:heavy free	2026-08-27 14:08:32 CEST	POD-2927
[fix] A7b hibernate and wake	grok-acp	PASS hibernated in 79ms, resurrected live in 2155ms, preserved the exact conversation pointer and transcript, and recalled the planted word on a fresh usable turn	5a01098aae2cea4bbc4d7a7e893c1b70a15b137a	yes; product reported grok-acp/server; C1 planted context and answered, C2 row reached hibernated, C3 post-wake turn answered	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok-current/cells/a7b-fix-5a/repo; exact server/daemon spawn PIDs 2291866/2292188; web 5a01098 bundle+D0-MLqzq; code tree a55459eb; load1 7.22; root 11.3GiB; test:heavy free	2026-08-27 14:12:55 CEST	POD-2927
[single supersedes parent BLOCKED] A1c send to a dead session	grok-acp	FAIL exact UUID+session child PID 2408886 was killed and confirmed gone; dead-session send was accepted queued position=1 but no typed refusal, resume offer, or assistant nonce arrived in 120s	a70ffc0f8a72d73d3ae10189ac7f471b622739c9	yes; product reported grok-acp/server and the same session answered an exact live control before its single stamped child was killed	yes; named instance grok2927; marker UUID e0b523e5-bf56-44dd-8d23-5de50e233337; unique CWD /tmp/pod-2927-grok-a70/cells/a1c-superseding/repo; exact server/daemon spawn PIDs 2404043/2404278; web a70ffc0 bundle+DuauHW6_; load1 5.52; root 12GiB; test:heavy free; no name/CWD attribution	2026-08-27 14:55:35 CEST	POD-2927; defect POD-2980
[single supersedes parent BLOCKED] A9 kill session	grok-acp	PASS exact identity 2421849:17514976 gone at 15s and 300s; zero exact-stamp rebounds; server and daemon alive 2/2	a70ffc0f8a72d73d3ae10189ac7f471b622739c9	yes; product reported grok-acp/server, replied ALIVE-YB3VX0, and exposed one exact UUID+session process before sessions.kill	yes; named grok2927; UUID e0b523e5-bf56-44dd-8d23-5de50e233337; unique CWD /tmp/pod-2927-grok-a70/cells/a9-superseding/repo; PID+start-time checks at 15s/300s; server/daemon 2404043/2404278; web a70ffc0 bundle+DuauHW6_; load1 4.69; root 12GiB; test:heavy free; no name/CWD attribution	2026-08-27 15:04:28 CEST	POD-2927
[fix] A1c send to a dead session (current-tip c30; admission blocked)	grok-acp	BLOCKED no test:heavy lease; no current-tip process spawned	c30fe4186156b0fd2a57da3bfa4fd97e642a08f2	no; fail-closed heavy admission refused before server/daemon/web/session controls	n/a; named instance not started; MemAvailable=7001008kB; rootFree=4801248kB; load1=7.96; active holder POD-2985; no spawn-time pins	2026-08-27 21:58:02 CEST	POD-2927; POD-2980
[fix] A1c send to a dead session (current-tip 0de; exact-child re-drive)	grok-acp	FAIL current-tip dead-send accepted queued position 1 after exact child kill; no typed refusal/resume and no assistant nonce through full 120s	0de7de085ebefb166b04ee69714955bafc556fe8	yes; product reported grok-acp/server; live control replied; exact UUID+session child PID 3436434 killed and gone; post-kill accepted/nonce control fired	yes; named instance grok2927e; unique CWD /tmp/pod-2927-grok-e/repo; server+daemon spawn pins 0de7de085; web source 0de7de0 bundle+8_I8mS2M schema c847f445; instance UUID 5ea2edc1; pre-build load1 4.39 MemAvailable=7000164kB rootFree=6527260kB; test:heavy free; no concurrent probe; full 120s	2026-08-28 00:24:52 CEST	POD-2927; POD-2980
[single] A1c dead-session driver admission (Codex requested headless, current tip)	codex requested headless / generic-pty observed	BLOCKED; bound generic-pty family=terminal, Codex 0.150.1 was unsupported, and the alive positive control had no reply in 90s; no dead child was guessed or killed	b3343f39a68e97f5f2c22072db8c2858fa916722	no; requested headless binding was not admitted and alive-send control did not fire	yes; named p2929y; server/daemon/web pin verified; no Grok drive; no process kill	2026-08-28 01:55:22 CEST	POD-2929
[single] A1c dead-session delayed outcome (OpenCode current tip)	opencode-server	FAIL; exact stamped child 3567561 was killed and gone, dead send returned queued position=1, but no typed refusal/resume offer or assistant nonce arrived through the full 120s window	b3343f39a68e97f5f2c22072db8c2858fa916722	yes; live control answered and exact UUID+session child stamp proved before kill	yes; named p2929y; server/daemon/web pin verified; instance UUID 6cc1555d-e373-4c9c-a279-fe5fdbe9fcff; no concurrent probe	2026-08-28 01:55:22 CEST	POD-2929
[single] A9 stamped-PID rebound (OpenCode current tip)	opencode-server	PASS; exact original 3573310:21418524 was gone at 15s and 300s, stamped rebounds=0 at both checkpoints, infrastructure=2/2, full 300s	b3343f39a68e97f5f2c22072db8c2858fa916722	yes; ALIVE-YF7W78 reply and exact UUID+session stamp fired before sessions.kill	yes; named p2929y; server/daemon/web pin verified; instance UUID 6cc1555d-e373-4c9c-a279-fe5fdbe9fcff; no concurrent probe	2026-08-28 01:55:22 CEST	POD-2929
[fix] A1c send to a dead session (current-tip 4d405; exact-child re-drive after POD-2980)	grok-acp	FAIL live grok-acp/server control replied; exact UUID+session child PID 3643299 killed and gone; dead send accepted queued position=1, no typed refusal/resume, and no assistant nonce through full 120s	4d405afffe234d020557921e6240c053c706f783	yes; product reported grok-acp/server and live positive control replied before the exact child kill	yes; named instance grok2927x; unique CWD /tmp/pod-2927-grok-x/repo; exact UUID 347d60c2-2ebf-4de5-83d8-6cc986784558 + session 9273cf05-8806-4101-b196-d90de7db9e2a; server PID 3642930 and daemon PID 3642986 spawned at 4d405; served web 4d405af bundle+3Vq7_TII; no path overrides; canonical pin verifier passed; test:heavy held; full 120s	2026-08-28 02:37:17 CEST	POD-2927; POD-2980 follow-up
[single] A5 transcript tool-call/result persistence (current-tip dded re-drive after 0ef9722a0)	grok-acp	FAIL live control fired; toolUseId call-ec42803f-c4c0-4466-bac6 had call=true but result=false; reload kept the same incomplete item with no provider result or marker	dded76d9c6df833dea3d31f248e987c73523a0d2	yes; fresh session bound grok-acp/server and produced one tool item with 3 delta frames	yes; named instance grok2927a5d; UUID 2f908bb1-effd-445a-aa08-09da12a93bb9; session de9fcf23-0a41-4d22-b031-96b73ccdff7f; CWD /tmp/pod-2927-grok-a5-d/repo; exact server PID 3715551 and daemon PID 3715631 spawned at dded; served web dded76d bundle+D9b31Ivh; no path overrides; canonical pin verifier passed; test:heavy held only through drive and released before evidence	2026-08-28 03:28:16 CEST	POD-2927; POD-3025
[single supersedes unqualified] A5 transcript tool-call/result persistence (current-tip 3cd8 explicit allow-once re-drive)	grok-acp	PASS permission id=0 answered allow-once; exact toolUseId call-f3cbfb0d-bca7-466b-bc3f-8afcaebb0c1b-0 had call=true/result=true live; provider result and exact history survived reload	3cd8fa16aadfb6741c88a157cdaa8ce825f93a75	yes; fresh session bound grok-acp/server, A2b live control fired, observer logged one protocol ask and ok=true answer, A5 completed with 4 items/2 tool items/4 frames	yes; named p2777a5g202608280240343852629; instance UUID 20461423-a10b-45f0-bdfc-c9928e21c29f; session 4bb66044-fb33-484e-8493-a82a00554aff; provider 01a0463d-bcbf-7890-b76c-390bf14efddf; CWD /tmp/pod-2777-grok-a5-20260828024034-3852629/repo; exact server/daemon spawn pins 3cd8fa; served web 3cd8fa1 bundle+DmPc5z98 schema c847f4452ebd568b; no path/HOME/runtime-driver overrides; PODIUM_ADOPT_STATE=1 only for product-created runtime/tmux adoption; no concurrent probe; all exact processes gone; post-cleanup host sample 6.6GiB available with swap-in/out zero after first sample	2026-08-28 04:41:49 CEST	POD-3025; POD-1761
[fix] A1c send to a dead session (current-tip 6e50 exact-child re-drive after POD-2980)	grok-acp	FAIL exact UUID+session child PID 3900945 was killed and gone; dead-session send was accepted queued position=1, but no typed refusal/resume or assistant nonce arrived through the full 120s; post-window row only dead-lettered	6e50dbc1c0945324f96f149ed28a1dfa7ef8c5f4	yes; product reported grok-acp/server; same session answered the live positive control before exact child kill	yes; named instance grok2927v6; UUID ef93bbc8-ad88-48f3-83f3-9087bdbaaab7; session 679b34c6-1219-41d7-8cf1-a1547dce61b8; exact server/daemon spawn PIDs 3897750/3897835; served web bundle+BhuJzoDU source 6e50dbc; no path/runtime-driver overrides; build lease released before scored retry; full 120s window; cleanup closed ports and left heavy free	2026-08-28 05:38:31 CEST	POD-2927; POD-2980
POD-2604 parent boundary 6c6689046 -> dac2f0c09; named parent launch hit File name too long before SessionStart	static boundary / no runtime	BLOCKED parent cannot launch a named instance	dac2f0c0981	no — SessionStart and durable control did not fire	n/a — no instance spawned; default instance fenced	2026-08-28 01:51	POD-2604
POD-2637 parent boundary c1d69321b -> 27f133619; parent predates the named-socket fix and cannot launch the required named arm	static boundary / no runtime	BLOCKED parent cannot launch a named instance	27f1336190	no — terminal-evidence control did not fire	n/a — no instance spawned; default instance fenced	2026-08-28 01:51	POD-2637
POD-2761 parent boundary a841ade74 -> 3c4d9a29; named parent attach arm cannot launch before the socket-path fix	static boundary / no runtime	BLOCKED parent cannot launch a named instance	3c4d9a297	no — SessionStart and switch control did not fire	n/a — no instance spawned; default instance fenced	2026-08-28 01:51	POD-2761
stream in a running turn; durable control 2 frames/2 items, fine watch acquired, 17 preview frames, 16/16 growth transitions, per-row monotonic	opencode-server (server family)	PASS 17 preview frames	b3343f39a68e97f5f2c22072db8c2858fa916722	yes — transcriptDelta 2 frames/2 items; phase idle	yes — only named p2913z8 drive instance and its scratch directory	2026-08-28 01:46	POD-2773
stream in a running turn; durable control 2 frames/2 items, fine watch acquired, 29 preview frames, 28/28 growth transitions, per-row monotonic	grok-acp (server family)	PASS 29 preview frames	b3343f39a68e97f5f2c22072db8c2858fa916722	yes — transcriptDelta 2 frames/2 items; phase idle	yes — sequential arm, no concurrent driver in the probe directory	2026-08-28 01:47	POD-2773
POD-2604 exact-eee parent boundary recheck; named parent launch held by the disk gate and pre-ab9 socket boundary	static-audit	BLOCKED; no fresh runtime because root free was below the 5 GiB floor; parent named arm remains unavailable	eee8b18cf3ccce848ef6e54b46cafa738fc7db7b0	no — no server/daemon/session positive control started	n/a — no instance; default fenced; no server/web/daemon spawn pins	2026-08-28 06:27:11 CEST	POD-2604
POD-2637 exact-eee parent boundary recheck; named parent launch held by the disk gate and pre-ab9 socket boundary	static-audit	BLOCKED; no fresh runtime because root free was below the 5 GiB floor; parent named arm remains unavailable	eee8b18cf3cce848ef6e54b46cafa738fc7db7b0	no — no server/daemon/session positive control started	n/a — no instance; default fenced; no server/web/daemon spawn pins	2026-08-28 06:27:11 CEST	POD-2637
POD-2761 exact-eee parent boundary recheck; named parent launch held by the disk gate and pre-ab9 socket boundary	static-audit	BLOCKED; no fresh runtime because root free was below the 5 GiB floor; parent named arm remains unavailable	eee8b18cf3ccce848ef6e54b46cafa738fc7db7b0	no — no server/daemon/session positive control started	n/a — no instance; default fenced; no server/web/daemon spawn pins	2026-08-28 06:27:11 CEST	POD-2761
POD-2773 exact-eee opencode streaming arm	opencode-server	UNMEASURED; fresh exact-tip runtime held by the disk gate; b3343f39a row is historical only	eee8b18cf3ccce848ef6e54b46cafa738fc7db7b0	no — no exact-tip durable control fired	n/a — no named instance and no server/web/daemon spawn pins	2026-08-28 06:27:11 CEST	POD-2773
POD-2773 exact-eee grok streaming arm	grok-acp	UNMEASURED; fresh exact-tip runtime held by the disk gate; b3343f39a row is historical only	eee8b18cf3ccce848ef6e54b46cafa738fc7db7b0	no — no exact-tip durable control fired	n/a — no named instance and no server/web/daemon spawn pins	2026-08-28 06:27:11 CEST	POD-2773
[single] A1c dead-session delayed outcome (OpenCode current tip 2e1648c)	opencode-server	FAIL; exact stamped child 3997579 was killed and gone, dead send returned ok=true disposition=delivered, but no typed refusal/resume offer or assistant nonce arrived through the full 120s window	2e1648ca89e7f28fe42d6d62aeb2b0ad224cfd42	yes; live control answered and exact UUID+session child stamp proved before kill	yes; named p2929z; server/daemon spawned at 2e1648c; served web b3343f3 reused unchanged through 2e1648c; instance UUID 76892e82-1eaf-4ccb-93cf-ce66401a71a0; no concurrent probe	2026-08-28 06:52:25 CEST	POD-2929
[single] A9 stamped-PID rebound (OpenCode current tip 2e1648c)	opencode-server	PASS; exact original 4000972:23195700 was gone at 15s and 300s, stamped rebounds=0 at both checkpoints, infrastructure=2/2, full 300s	2e1648ca89e7f28fe42d6d62aeb2b0ad224cfd42	yes; ALIVE-BESWKC reply and exact UUID+session stamp fired before sessions.kill	yes; named p2929z; server/daemon spawned at 2e1648c; served web b3343f3 reused unchanged through 2e1648c; instance UUID 76892e82-1eaf-4ccb-93cf-ce66401a71a0; no concurrent probe	2026-08-28 06:52:25 CEST	POD-2929
[single] A1c dead-session delayed outcome (OpenCode terminal arm current tip 2e1648c)	opencode-terminal/generic-pty	BLOCKED; terminal-arm preflight found root free=5228788 KiB below the 5242880 KiB 5 GiB floor, so no server/daemon/session or delayed-outcome measurement started	2e1648ca89e7f28fe42d6d62aeb2b0ad224cfd42	no; fail-closed disk gate fired before the positive control or process attribution	n/a; named p2929z was not started for the terminal arm; no spawn-time pins	2026-08-28 06:52:25 CEST	POD-2929
[single] A9 stamped-PID rebound (OpenCode terminal arm current tip 2e1648c)	opencode-terminal/generic-pty	BLOCKED; terminal-arm preflight found root free=5228788 KiB below the 5242880 KiB 5 GiB floor, so no server/daemon/session, stamp proof, or 15s/300s census started	2e1648ca89e7f28fe42d6d62aeb2b0ad224cfd42	no; fail-closed disk gate fired before the positive control or stamped target attribution	n/a; named p2929z was not started for the terminal arm; no spawn-time pins	2026-08-28 06:52:25 CEST	POD-2929
[single] A1c dead-session delayed outcome (Codex current tip 2e1648c)	codex-app-server	BLOCKED; current-tip Codex arm found root free=5228788 KiB below the 5242880 KiB 5 GiB floor, so no server/daemon/session, live control, or delayed-outcome measurement started	2e1648ca89e7f28fe42d6d62aeb2b0ad224cfd42	no; fail-closed disk gate fired before the positive control or process attribution	n/a; named p2929z was not started; no spawn-time server/daemon/web pins or process target existed	2026-08-28 06:52:25 CEST	POD-2929
[single] A9 stamped-PID rebound (Codex current tip 2e1648c)	codex-app-server	BLOCKED; current-tip Codex arm found root free=5228788 KiB below the 5242880 KiB 5 GiB floor, so no server/daemon/session, positive control, stamp proof, or 15s/300s census started	2e1648ca89e7f28fe42d6d62aeb2b0ad224cfd42	no; fail-closed disk gate fired before the positive control or process attribution	n/a; named p2929z was not started; no spawn-time server/daemon/web pins or target process existed	2026-08-28 06:52:25 CEST	POD-2929
A7a daemon restart (format-only copy 2026-08-28 10:01:42 CEST)	opencode-headless	PASS; daemon PID changed and opencode recalled the same codeword/conversation on the reaper-pinned daemon	fb67ef2278f083bf1bc7036186dea1e183dfcec6	yes; pre-restart codeword CODEWORD-A6P6IE and post-restart recall arrived; pointer unchanged; daemon 1076504->1079605	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a7a; server/daemon/bundle pins verified before restart and new daemon re-pinned; reaper source present; root 14G free at cell start; reading docs/evidence/pod-2919/readings/a7a-headless.json	2026-08-27 05:55:03 CEST	POD-2919
A1a send while idle (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; three idle sends replied, including the required last send	40c198eae5987da8cfa81ac20582ad9161d8270e	yes 3/3 durable user turns; last send required	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:22 CEST	POD-2918
A1b send while busy (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	FAIL; busy send returned queued=true without a durable position; reload delivered user and reply	40c198eae5987da8cfa81ac20582ad9161d8270e	yes busy user turn + working phase	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:25 CEST	POD-2918
A1c send to a dead session (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	FAIL; dead-session send was accepted as queued while the row was still live; after exact child death the row exited with no resume ref and the assistant needle never arrived	40c198eae5987da8cfa81ac20582ad9161d8270e	yes baseline reply + exact child PID 1023334; follow-up exact child PID 1186968; both gone confirmed; assistant needle checked	yes named p2918; no concurrent drive; 13GB free	2026-08-27 06:43 CEST	POD-2918
A2a status while working (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; working appeared within 2s, stayed working through the sample, and returned idle	40c198eae5987da8cfa81ac20582ad9161d8270e	yes durable user turn + working samples	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:32 CEST	POD-2918
A2b status at boot (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; fresh session reported idle at boot	40c198eae5987da8cfa81ac20582ad9161d8270e	yes attached stream + 4355 screen bytes	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:34 CEST	POD-2918
A3 interrupt mid-turn (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	FAIL; interrupt returned without a stopping record while the turn remained working	40c198eae5987da8cfa81ac20582ad9161d8270e	yes durable user turn + working phase; 1m load 3.83	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:36 CEST	POD-2918
A4a permission ask (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	BLOCKED; known claude-code 2.1.231 permissions.defaultMode manual-to-auto rewrite; not retried	40c198eae5987da8cfa81ac20582ad9161d8270e	not retried; documented instrument limit	yes named p2918; no session launched; 15GB free	2026-08-27 05:37 CEST	POD-2918
A4b answer twice (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	BLOCKED; known claude-code 2.1.231 permissions.defaultMode manual-to-auto rewrite; not retried	40c198eae5987da8cfa81ac20582ad9161d8270e	not retried; documented instrument limit	yes named p2918; no session launched; 15GB free	2026-08-27 05:38 CEST	POD-2918
A5 transcript (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; tool call/result pair and reload history are intact using a harmless test marker	40c198eae5987da8cfa81ac20582ad9161d8270e	yes durable prompt + tool/result pair	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:40 CEST	POD-2918
A6a terminal attach and type (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; keystrokes echoed, resize refit, and second viewer saw the same screen	40c198eae5987da8cfa81ac20582ad9161d8270e	yes native attach + 6708 bytes before input	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:41 CEST	POD-2918
A6b chat-CLI switch both directions twice (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; chat-to-CLI-to-chat-to-CLI retained one live session and both views remained functional	40c198eae5987da8cfa81ac20582ad9161d8270e	yes first chat user turn + reply before switches	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:43 CEST	POD-2918
A7a daemon restart (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; daemon restart retained the same live conversation and codeword; post-restart daemon pin matched	40c198eae5987da8cfa81ac20582ad9161d8270e	yes pre-restart codeword + reply	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:45 CEST	POD-2918
A7b hibernate and wake (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; hibernate/wake preserved the conversation and answered after wake	40c198eae5987da8cfa81ac20582ad9161d8270e	yes pre-hibernate codeword + reply	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:47 CEST	POD-2918
A8 logged-out spawn (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	BLOCKED; logged-out spawn showed the expected Not logged in /login path; external OAuth not completed	40c198eae5987da8cfa81ac20582ad9161d8270e	yes attached + 3408 screen bytes + visible login path	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:50 CEST	POD-2918
A9 kill session (POD-2918 current-pin redrive) (format-only copy 2026-08-28 10:01:42 CEST)	claude-pty	PASS; session process tree was gone immediately and after five minutes; post-A9 cwd map had only server/daemon	40c198eae5987da8cfa81ac20582ad9161d8270e	yes exact PID-to-cwd target tree + screen bytes	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:51 CEST	POD-2918
A4a permission ask (POD-3027 dummy-cwd approval drive)	codex-app-server	PARTIAL chat half PASS: enumerable structured ask kind=permission source=protocol toolName=Bash; terminal half unmet: 0 native bytes outputSeen=false before answering, TUI +6268B still prompting after; required isolated approvals_reviewer=user, restored on exit	be0334e77b1d82cb27b3df991429359f31048682	yes 2 items 2 frames; classifier control fired	yes named cx3027 port 19927; no concurrent drive; 99GiB free	2026-08-28 13:08:56 CEST	POD-3027
A4b answer twice (POD-3027 dummy-cwd approval drive)	codex-app-server	PASS first allow-once returned ok:true, ask left the open set, exactly 1 side-effect execution; second answer typed ok:false reason=already-answered with no second execution	be0334e77b1d82cb27b3df991429359f31048682	yes 2 items 2 frames; first answer is not a refusal	yes named cx3027 port 19927; no concurrent drive; 99GiB free	2026-08-28 13:08:56 CEST	POD-3027
